wav, nm;  tau[toa:10km];  tau[toa:2km];  tau[toa:0km]
319.3  2.841173e-07  2.164906e-06  3.360053e-06
319.3  2.898444e-07  2.206490e-06  3.423304e-06
319.4  2.956805e-07  2.248920e-06  3.487870e-06
319.4  3.016256e-07  2.292260e-06  3.554114e-06
319.5  3.078039e-07  2.336677e-06  3.621607e-06
319.5  3.139515e-07  2.382194e-06  3.691140e-06
319.5  3.203477e-07  2.428366e-06  3.761627e-06
319.6  3.268529e-07  2.475321e-06  3.833067e-06
319.6  3.334517e-07  2.523670e-06  3.906843e-06
319.6  3.401748e-07  2.572380e-06  3.981276e-06
319.7  3.471158e-07  2.622717e-06  4.057980e-06
319.7  3.540568e-07  2.673183e-06  4.135406e-06
319.8  3.612157e-07  2.725211e-06  4.214740e-06
319.8  3.684836e-07  2.778149e-06  4.295752e-06
319.8  3.759694e-07  2.832715e-06  4.379033e-06
319.9  3.835795e-07  2.887640e-06  4.462972e-06
319.9  3.912832e-07  2.943897e-06  4.548885e-06
319.9  3.992202e-07  3.001360e-06  4.636771e-06
320.0  4.072661e-07  3.059604e-06  4.725611e-06
320.0  4.155299e-07  3.119604e-06  4.817443e-06
320.1  4.239181e-07  3.179899e-06  4.909572e-06
320.1  4.323845e-07  3.242076e-06  5.004694e-06
320.1  4.412238e-07  3.305205e-06  5.101066e-06
320.2  4.500324e-07  3.369369e-06  5.199116e-06
320.2  4.590589e-07  3.435224e-06  5.299796e-06
320.2  4.683340e-07  3.501735e-06  5.401431e-06
320.3  4.778117e-07  3.570424e-06  5.506354e-06
320.3  4.873984e-07  3.639958e-06  5.612594e-06
320.3  4.972183e-07  3.710698e-06  5.720806e-06
320.4  5.072561e-07  3.783065e-06  5.831289e-06
320.4  5.174029e-07  3.856342e-06  5.943448e-06
320.5  5.278919e-07  3.931542e-06  6.058173e-06
320.5  5.384745e-07  4.008137e-06  6.175234e-06
320.5  5.492904e-07  4.085874e-06  6.293906e-06
320.6  5.603241e-07  4.165303e-06  6.415210e-06
320.6  5.715758e-07  4.246423e-06  6.539145e-06
320.6  5.830454e-07  4.329170e-06  6.665349e-06
320.7  5.947483e-07  4.413187e-06  6.793889e-06
320.7  6.066691e-07  4.498831e-06  6.924698e-06
320.8  6.188078e-07  4.586103e-06  7.057777e-06
320.8  6.311644e-07  4.675130e-06  7.193848e-06
320.8  6.438632e-07  4.766080e-06  7.332486e-06
320.9  6.566556e-07  4.858426e-06  7.473459e-06
320.9  6.699299e-07  4.952569e-06  7.616997e-06
320.9  6.832824e-07  5.048658e-06  7.763889e-06
321.0  6.969772e-07  5.146669e-06  7.913348e-06
321.0  7.108898e-07  5.246373e-06  8.065438e-06
321.0  7.251447e-07  5.348063e-06  8.220455e-06
321.1  7.396175e-07  5.451445e-06  8.378104e-06
321.1  7.544172e-07  5.557299e-06  8.539338e-06
321.2  7.694348e-07  5.664910e-06  8.703565e-06
321.2  7.847946e-07  5.774507e-06  8.870719e-06
321.2  8.003723e-07  5.885796e-06  9.040505e-06
321.3  8.164011e-07  5.999854e-06  9.214172e-06
321.3  8.326479e-07  6.115603e-06  9.390470e-06
321.3  8.492216e-07  6.233890e-06  9.570715e-06
321.4  8.661374e-07  6.354227e-06  9.754249e-06
321.4  8.835044e-07  6.477270e-06  9.941303e-06
321.5  9.010894e-07  6.602132e-06  1.013171e-05
321.5  9.190012e-07  6.729403e-06  1.032534e-05
321.5  9.372399e-07  6.859275e-06  1.052328e-05
321.6  9.559297e-07  6.991916e-06  1.072511e-05
321.6  9.748375e-07  7.126248e-06  1.092956e-05
321.6  9.943207e-07  7.263774e-06  1.113891e-05
321.7  1.014007e-06  7.403477e-06  1.135156e-05
321.7  1.034143e-06  7.546012e-06  1.156844e-05
321.7  1.054716e-06  7.691866e-06  1.179023e-05
